Species,Specimen ID,Observed FL (inches),FFL mm,GSMFC Margin,Whole Weight g,Whole Weight Gutted g,Macro sex,Edge type PC,Fishing Mode,Fishery,Source Code,Sampling Unit ID,Barcode,Month,Catch Month,Catch Day,Capture Date,State,County Landed,Headboat Area,NMFS Statistical Grid,Gear Code,Gear Name,Gear Group Code,Depth m,Observed TL in,Observed Natural TL mm,Observed FL (cm),Area Landed,GulfSide,DNA Tube,Otolith tube,Standard Length mm,SEAMAP Start Date/Time,SEAMAP End Date/Time,SEAMAP Start Depth,SEAMAP End Depth,PC Coll #,Notes,Capture Date,Catch Year,Ring Count,PC Edge type,Numeric Capture Date,Ring Count+Edge Type (Calender Age),Year Fraction,Year Fraction Check,GS_Edge Type,Annuli,Specimen ID,Final Age,,,,
Lutjanus synagris,2021LS-SSMP-30,6.06,154,1,,,F,,Trawling,FI,SEAMAP,,MTB2108397,June,6,22,6/22/2021,FL,UNK,,,,Trawl,,,,165,,,U,,,128,6/22/2021 1:48,6/22/2021 2:18,9.3,9.4,,,6/22/2021,2021,1,2,44369,1,0.02,121.47570,1,1,2021LS-SSMP-30,0.975359343,,,,
Lutjanus synagris,2021LS-SSMP-29,6.1,155,2,,,M,,Trawling,FI,SEAMAP,,MTB2108399,June,6,22,6/22/2021,FL,UNK,,,,Trawl,,,,167,,,U,,,128,6/22/2021 1:48,6/22/2021 2:18,9.3,9.4,,,6/22/2021,2021,1,4,44369,1,0.02,121.47570,2,1,2021LS-SSMP-29,0.975359343,,,,
Lutjanus synagris,2021LS-SSMP-36,5.91,150,1,,,F,,Trawling,FI,SEAMAP,,MTB2108419,June,6,22,6/22/2021,FL,UNK,,,,Trawl,,,,160,,,U,,,123,6/22/2021 9:18,6/22/2021 9:48,8.9,8.6,,,6/22/2021,2021,1,2,44369,1,0.02,121.47570,1,1,2021LS-SSMP-36,0.975359343,,,,
Lutjanus synagris,2021LS-SSMP-34,5.98,152,1,,,F,,Trawling,FI,SEAMAP,,MTB2108421,June,6,22,6/22/2021,FL,UNK,,,,Trawl,,,,164,,,U,,,124,6/22/2021 9:18,6/22/2021 9:48,8.9,8.6,,,6/22/2021,2021,1,2,44369,1,0.02,121.47570,1,1,2021LS-SSMP-34,0.975359343,,,,
Lutjanus synagris,2021LS-SSMP-39,6.26,159,1,,,F,,Trawling,FI,SEAMAP,,MTB2108438,June,6,22,6/22/2021,FL,UNK,,,,Trawl,,,,170,,,U,,,131,6/22/2021 11:15,6/22/2021 11:45,6,6.3,,,6/22/2021,2021,1,2,44369,1,0.02,121.47570,1,1,2021LS-SSMP-39,0.975359343,,,,
Lutjanus synagris,2021LS-SSMP-45,6.3,160,2,,,F,,Trawling,FI,SEAMAP,,MTB2108477,June,6,22,6/22/2021,FL,UNK,,,,Trawl,,,,174,,,U,,,134,6/22/2021 17:55,6/22/2021 18:25,15.9,15.8,,,6/22/2021,2021,1,4,44369,1,0.02,121.47570,2,1,2021LS-SSMP-45,0.975359343,,,,
Lutjanus synagris,2021LS-SSMP-44,6.81,173,1,,,F,,Trawling,FI,SEAMAP,,MTB2108478,June,6,22,6/22/2021,FL,UNK,,,,Trawl,,,,187,,,U,,,144,6/22/2021 17:55,6/22/2021 18:25,15.9,15.8,,,6/22/2021,2021,1,2,44369,1,0.02,121.47570,1,1,2021LS-SSMP-44,0.975359343,,,,
Lutjanus synagris,2021LS-SSMP-43,6.85,174,1,,,F,,Trawling,FI,SEAMAP,,MTB2108480,June,6,22,6/22/2021,FL,UNK,,,,Trawl,,,,178,,,U,,,143,6/22/2021 17:55,6/22/2021 18:25,15.9,15.8,,,6/22/2021,2021,1,2,44369,1,0.02,121.47570,1,1,2021LS-SSMP-43,0.975359343,,,,
Lutjanus synagris,2021LS-SSMP-46,6.81,173,1,,,F,,Trawling,FI,SEAMAP,,MTB2108490,June,6,22,6/22/2021,FL,UNK,,,,Trawl,,,,185,,,U,,,143,6/22/2021 20:24,6/22/2021 20:54,10.8,10.1,,,6/22/2021,2021,1,2,44369,1,0.02,121.47570,1,1,2021LS-SSMP-46,0.975359343,,,,
Lutjanus synagris,2021LS-SSMP-53,6.26,159,1,,,F,,Trawling,FI,SEAMAP,,MTB2108495,June,6,22,6/22/2021,FL,UNK,,,,Trawl,,,,172,,,U,,,136,6/22/2021 22:54,6/22/2021 23:24,9.2,9.3,,,6/22/2021,2021,1,2,44369,1,0.02,121.47570,1,1,2021LS-SSMP-53,0.975359343,,,,
Lutjanus synagris,2021LS-SSMP-52,6.22,158,4,,,M,,Trawling,FI,SEAMAP,,MTB2108496,June,6,22,6/22/2021,FL,UNK,,,,Trawl,,,,171,,,U,,,133,6/22/2021 22:54,6/22/2021 23:24,9.2,9.3,,,6/22/2021,2021,0,6,44369,1,0.02,121.47570,4,0,2021LS-SSMP-52,0.975359343,,,,
Lutjanus synagris,2021LS-SSMP-51,6.46,164,1,,,F,,Trawling,FI,SEAMAP,,MTB2108497,June,6,22,6/22/2021,FL,UNK,,,,Trawl,,,,173,,,U,,,136,6/22/2021 22:54,6/22/2021 23:24,9.2,9.3,,,6/22/2021,2021,1,2,44369,1,0.02,121.47570,1,1,2021LS-SSMP-51,0.975359343,,,,
